"DateTime","2023","2024","2025"
"1970-01-01 00:00:00",4.64,1.88,444.38
"1970-01-02 00:00:00",1.88,6.52,592.76
"1970-01-03 00:00:00",23.43,11.16,734.71
"1970-01-04 00:00:00",4.64,14.04,580.9
"1970-01-05 00:00:00",9.4,16.8,617.54
"1970-01-06 00:00:00",7.41,7.52,902.37
"1970-01-07 00:00:00",,5.64,778.07
"1970-01-08 00:00:00",11.27,8.4,763.89
"1970-01-09 00:00:00",13.15,6.52,799.88
"1970-01-10 00:00:00",7.41,8.4,738.81
"1970-01-11 00:00:00",6.52,6.52,629.67
"1970-01-12 00:00:00",10.17,3.76,570.57
"1970-01-13 00:00:00",20.67,,752.66
"1970-01-14 00:00:00",10.28,2.76,898.65
"1970-01-15 00:00:00",7.52,11.05,779.77
"1970-01-16 00:00:00",15.92,2.76,742.31
"1970-01-17 00:00:00",26.09,,625.45
"1970-01-18 00:00:00",16.69,3.76,657.78
"1970-01-19 00:00:00",7.52,8.4,581.62
"1970-01-20 00:00:00",16.8,,703.24
"1970-01-21 00:00:00",22.89,,889.1
"1970-01-22 00:00:00",1.88,2.76,711.4
"1970-01-23 00:00:00",8.4,9.39,822
"1970-01-24 00:00:00",20.78,9.39,850.79
"1970-01-25 00:00:00",28.19,7.41,708.78
"1970-01-26 00:00:00",14.92,3.76,593.27
"1970-01-27 00:00:00",14.04,12.16,896.77
"1970-01-28 00:00:00",8.4,3.76,885.2
"1970-01-29 00:00:00",,14.49,876.11
"1970-01-30 00:00:00",7.52,13.93,581.22
"1970-01-31 00:00:00",1.88,3.76,648.88
"1970-02-01 00:00:00",10.28,7.52,678.06
"1970-02-02 00:00:00",10.28,16.8,603.16
"1970-02-03 00:00:00",12.16,1.88,767.11
"1970-02-04 00:00:00",26.31,,866.75
"1970-02-05 00:00:00",1.88,3.76,716.1
"1970-02-06 00:00:00",10.28,7.52,837.38
"1970-02-07 00:00:00",3.76,13.15,787.26
"1970-02-08 00:00:00",22.44,8.4,652.29
"1970-02-09 00:00:00",12.16,4.64,591.65
"1970-02-10 00:00:00",2.76,8.4,746.38
"1970-02-11 00:00:00",10.28,,793.19
"1970-02-12 00:00:00",11.28,8.4,740.43
"1970-02-13 00:00:00",9.39,8.4,356.42
"1970-02-14 00:00:00",12.16,5.64,385.8
"1970-02-15 00:00:00",23.55,10.17,547.24
"1970-02-16 00:00:00",3.76,5.64,526.35
"1970-02-17 00:00:00",21.01,9.39,728.04
"1970-02-18 00:00:00",13.04,8.4,986.08
"1970-02-19 00:00:00",10.28,11.27,816.54
"1970-02-20 00:00:00",12.16,3.76,913.1
"1970-02-21 00:00:00",15.92,1.88,846.39
"1970-02-22 00:00:00",9.39,12.16,694.37
"1970-02-23 00:00:00",1.88,18.79,494.29
"1970-02-24 00:00:00",9.39,6.52,730.2
"1970-02-25 00:00:00",9.28,7.52,966.85
"1970-02-26 00:00:00",1.88,,994.31
"1970-02-27 00:00:00",9.39,8.4,1293.81
"1970-02-28 00:00:00",15.03,6.52,1104.29
"1970-03-01 00:00:00",16.8,1.88,802.8
"1970-03-02 00:00:00",10.28,1.88,711.85
"1970-03-03 00:00:00",15.03,1.88,925.79
"1970-03-04 00:00:00",11.17,7.52,876.44
"1970-03-05 00:00:00",,14.04,938.3
"1970-03-06 00:00:00",5.64,5.64,1347.95
"1970-03-07 00:00:00",15.03,11.28,771.4
"1970-03-08 00:00:00",6.52,15.03,811.42
"1970-03-09 00:00:00",7.52,10.28,564.38
"1970-03-09 23:00:00",,,920.2
"1970-03-10 00:00:00",5.64,1.88,
"1970-03-10 23:00:00",,,937.2
"1970-03-11 00:00:00",8.4,2.76,
"1970-03-11 23:00:00",,13.15,832.64
"1970-03-12 00:00:00",2.76,,
"1970-03-12 23:00:00",9.39,12.16,884.21
"1970-03-13 23:00:00",9.28,17.68,710.77
"1970-03-14 23:00:00",19.67,14.92,638.88
"1970-03-15 23:00:00",16.91,15.92,616.38
